episode_id,begin_utc,end_utc,states,n_events,n_lsr,fatalities,injuries,damage_usd,n_counties,county_fips,min_lat,min_lon,max_lat,max_lon,max_roll_6h_mm,max_roll_12h_mm,max_roll_24h_mm,max_roll_72h_mm,max_ari_years,max_ari_duration,mrms_product
154745,2020-12-30 01,2020-12-30 03,CA,1,0,0,0,0,1,06059,33.67,-117.95,33.779999999999994,-117.84,,,,,,,
154065,2020-12-31 21,2020-12-31 22,TX,1,0,0,0,0,1,48349,31.96,-96.66,32.25,-96.54,,,,,,,
154248,2021-01-02 13,2021-01-02 20,FL,2,2,0,0,0,2,12005;12065,30.14,-85.62,30.54,-83.87,,,,,,,
154609,2021-01-20 17,2021-01-21 01,CA,2,3,0,0,40000,1,06025,32.73,-115.07,33.03,-114.8,,,,,,,
155591,2021-01-25 10,2021-01-25 11,CA,1,0,0,0,0,1,06059,33.67,-117.71,33.79,-117.59,,,,,,,
155694,2021-01-25 11,2021-01-25 18,MO,24,25,0,0,30000,13,29009;29029;29065;29067;29077;29085;29091;29105;29153;29161;29203;29225;29229,36.53,-93.8,37.94,-91.24,,,,,,,
155216,2021-01-25 16,2021-01-25 22,KY,1,0,0,0,0,1,21145,36.900000000000006,-88.7,37.019999999999996,-88.55,,,,,,,
154993,2021-01-26 01,2021-01-26 02,KY,1,1,0,0,0,1,21031,37.14,-86.71,37.25,-86.60000000000001,,,,,,,
156230,2021-01-28 09,2021-01-28 22,CA,3,0,0,0,0,1,06079,35.17,-121.11,35.57,-120.69,,,,,,,
154448,2021-01-29 02,2021-01-29 05,CA,1,0,0,0,0,1,06107,36.11,-118.75999999999999,36.22,-118.65,,,,,,,
155647,2021-01-29 23,2021-01-30 02,CA,1,0,1,8,0,1,06073,32.49,-117.08,32.599999999999994,-116.96000000000001,,,,,,,
156401,2021-02-11 14,2021-02-11 16,LA,1,1,0,0,0,1,22037,30.81,-91.08,30.93,-90.95,,,,,,,
157173,2021-02-11 14,2021-02-11 18,MS,8,8,0,0,124000,2,28067;28091,31.21,-89.85,31.71,-89.14,,,,,,,
155335,2021-02-16 20,2021-02-16 23,FL,1,1,0,0,0,1,12086,25.74,-80.25,25.85,-80.13000000000001,,,,,,,
156323,2021-02-17 20,2021-02-17 22,LA,1,1,0,0,10000,1,22029,31.5,-91.5,31.62,-91.36,,,,,,,
156330,2021-02-17 20,2021-02-18 02,MS,2,3,0,0,30000,2,28001;28163,31.56,-91.4,32.83,-90.39,,,,,,,
156583,2021-02-28 02,2021-03-01 04,TN,12,15,0,0,25000,11,47021;47037;47043;47083;47085;47087;47125;47147;47149;47159;47161,35.97,-87.9,36.55,-85.63,,,,,,,
155544,2021-02-28 12,2021-03-01 04,KY,20,32,0,0,255500,14,21025;21051;21071;21109;21121;21125;21131;21153;21165;21175;21193;21197;21203;21237,36.95,-84.43,38.03,-82.75,,,,,,,
155965,2021-02-28 14,2021-03-01 02,KY,5,14,0,0,3700000,5,21035;21047;21075;21083;21219,36.52,-88.89,36.88,-87.13,,,,,,,
155622,2021-02-28 17,2021-03-01 05,KY,15,16,0,0,10000,10,21045;21057;21061;21087;21099;21137;21141;21171;21217;21227,36.7,-86.94,37.4,-84.54,,,,,,,
156386,2021-02-28 22,2021-03-01 03,TN,4,7,0,0,190000,4,47079;47095;47113;47131,35.66,-89.48,36.47,-88.18,,,,,,,
155766,2021-03-01 00,2021-03-01 04,AR,4,6,0,0,0,4,05019;05053;05059;05069,34.1,-93.09,34.37,-92.02,,,,,,,
156507,2021-03-01 02,2021-03-01 04,WV,3,3,0,0,0,1,54025,37.92,-80.78,38.11,-80.61,,,,,,,
156421,2021-03-01 03,2021-03-01 04,VA,1,1,0,0,0,1,51017,38.190000000000005,-79.83,38.3,-79.72,,,,,,,
155491,2021-03-01 05,2021-03-01 08,KY,10,11,0,0,15000,6,21071;21119;21193;21195;21199;21237,37.09,-84.61,37.77,-82.26,,,,,,,
156919,2021-03-10 12,2021-03-10 16,CA,1,1,0,0,75000,1,06059,33.68,-117.64,33.8,-117.53,,,,,,,
156217,2021-03-11 22,2021-03-12 00,IL,1,1,0,0,5000,1,17199,37.650000000000006,-88.98,37.779999999999994,-88.84,,,,,,,
157005,2021-03-13 10,2021-03-13 18,MO,9,9,0,0,0,2,29119;29145,36.61,-94.62,36.84,-94.09,,,,,,,
156725,2021-03-14 02,2021-03-14 02,TX,1,2,0,0,5000,1,48211,35.85,-100.44,35.97,-100.33,,,,,,,
156918,2021-03-16 11,2021-03-16 19,MS,5,9,0,0,14000,4,28023;28031;28061;28129,31.77,-89.45,31.96,-88.47,,,,,,,
156805,2021-03-16 16,2021-03-17 02,AL,5,10,0,0,0,3,01023;01025;01131,31.9,-88.29,32.23,-87.4,,,,,,,
156894,2021-03-17 14,2021-03-18 00,MS,3,3,0,0,20000,3,28003;28139;28141,34.51,-88.93,34.94,-88.21,,,,,,,
156888,2021-03-17 15,2021-03-17 19,AR,2,2,0,0,0,1,05119,34.730000000000004,-92.32,34.879999999999995,-92.14,,,,,,,
156895,2021-03-17 15,2021-03-17 22,TN,5,5,0,0,0,3,47069;47157;47167,35.04,-90.01,35.42,-88.81,,,,,,,
156425,2021-03-17 20,2021-03-17 21,AL,1,3,0,0,0,1,01073,33.470000000000006,-86.94,33.58,-86.81,,,,,,,
155581,2021-03-17 21,2021-03-18 10,AL,16,16,0,0,0,5,01033;01043;01077;01089;01103,34.18,-87.83,34.89,-86.39,,,,,,,
155996,2021-03-17 22,2021-03-18 05,GA,1,1,0,0,0,1,13047,34.85,-85.2,34.959999999999994,-85.09,,,,,,,
155854,2021-03-18 00,2021-03-18 02,TN,1,0,0,0,1000,1,47065,34.95,-85.28,35.11,-85.18,,,,,,,
156892,2021-03-18 00,2021-03-18 02,AR,5,8,0,0,70000,2,05031;05055,35.74,-90.74,36.06,-90.49,,,,,,,
156969,2021-03-18 01,2021-03-18 10,MO,4,4,0,0,0,2,29085;29209,36.94,-93.41,38.01,-93.08,,,,,,,
155559,2021-03-18 23,2021-03-19 03,KY,5,3,0,0,30000,2,21071;21175,37.64,-83.25,37.93,-82.83,,,,,,,
156703,2021-03-18 23,2021-03-19 03,WV,2,5,0,0,13000,2,54039;54099,38.21,-82.44,38.33,-81.79,,,,,,,
156912,2021-03-23 13,2021-03-23 14,LA,1,2,0,0,10000,1,22019,30.169999999999998,-93.25999999999999,30.29,-93.12,,,,,,,
157150,2021-03-23 19,2021-03-24 01,LA,2,2,0,0,0,2,22071;22109,29.57,-90.71,29.99,-90.06,,,,,,,
157085,2021-03-25 03,2021-03-25 05,MS,1,1,0,0,0,1,28131,30.79,-89.17999999999999,30.900000000000002,-89.06,,,,,,,
155754,2021-03-25 14,2021-03-26 05,AL,15,16,0,0,0,7,01033;01043;01049;01059;01071;01095;01103,34.17,-88.08,34.78,-85.73,,,,,,,
155997,2021-03-25 15,2021-03-26 11,GA,77,87,0,0,238000,11,13015;13055;13111;13115;13129;13187;13213;13291;13295;13311;13313,34.09,-85.5,34.94,-83.66,,,,,,,
155855,2021-03-25 17,2021-03-25 19,TN,1,1,0,0,0,1,47065,34.98,-85.36,35.35,-85.22,,,,,,,
157344,2021-03-25 17,2021-03-25 23,MS,6,6,0,0,24000,5,28065;28067;28127;28129;28159,31.67,-89.84,33.13,-89.06,,,,,,,
156666,2021-03-25 20,2021-03-25 23,AL,1,1,0,0,0,1,01019,34.14,-85.76,34.3,-85.46,,,,,,,
157258,2021-03-26 02,2021-03-26 04,NC,1,1,0,0,0,1,37043,35.010000000000005,-83.95,35.12,-83.83,,,,,,,
157121,2021-03-27 11,2021-03-28 08,TN,12,11,0,0,150000,9,47023;47039;47071;47075;47077;47109;47113;47157;47167,35.12,-89.98,35.74,-88.04,,,,,,,
157248,2021-03-27 16,2021-03-28 10,TN,19,51,6,0,24180080,14,47015;47021;47027;47037;47043;47049;47081;47087;47119;47141;47149;47185;47187;47189,35.65,-87.59,36.55,-84.93,,,,,,,
156063,2021-03-27 20,2021-03-28 17,TN,19,33,0,0,1754000,13,47007;47011;47013;47025;47059;47073;47089;47091;47093;47129;47139;47145;47163,35.03,-85.26,36.6,-81.77,,,,,,,
157284,2021-03-28 08,2021-03-28 15,KY,7,8,0,0,0,3,21013;21051;21095,36.61,-83.87,37.03,-83.19,,,,,,,
156065,2021-03-28 12,2021-03-28 15,VA,2,4,0,0,0,2,51105;51195,36.68,-83.18,36.98,-82.65,,,,,,,
157371,2021-03-28 15,2021-03-28 16,NC,1,1,0,0,0,1,37039,34.99,-84.28,35.129999999999995,-84.17,,,,,,,
157087,2021-03-31 00,2021-03-31 02,MS,1,0,0,0,0,1,28131,30.689999999999998,-89.13,30.8,-89.02,,,,,,,
157383,2021-03-31 04,2021-03-31 10,TN,2,2,0,0,25000,1,47071,35.18,-88.13,35.29,-88.01,,,,,,,
157384,2021-03-31 07,2021-03-31 14,MS,5,7,0,0,40000,3,28013;28017;28095,33.84,-89.32,34.0,-88.37,,,,,,,
157247,2021-03-31 08,2021-03-31 13,TN,15,15,0,0,0,3,47055;47099;47181,35.19,-87.94,35.4,-86.83,,,,,,,
155932,2021-03-31 09,2021-03-31 18,TN,3,3,0,0,0,2,47051;47127,35.18,-86.38,35.29,-86.08,,,,,,,
156964,2021-03-31 10,2021-03-31 15,AL,4,6,0,0,0,4,01009;01055;01093;01127,33.9,-87.95,34.16,-86.01,,,,,,,
155999,2021-03-31 11,2021-03-31 17,GA,8,8,0,0,30000,4,13047;13083;13123;13313,34.65,-85.52,34.96,-84.49,,,,,,,
155933,2021-03-31 12,2021-03-31 23,AL,3,3,0,0,0,1,01071,34.67,-86.2,34.88,-85.82,,,,,,,
157814,2021-04-08 01,2021-04-08 03,MS,1,1,0,0,0,1,28137,34.63,-90.03999999999999,34.75,-89.92,,,,,,,
157810,2021-04-08 09,2021-04-08 09,LA,2,2,0,0,0,1,22051,29.91,-90.31,30.09,-90.18,,,,,,,
157184,2021-04-09 15,2021-04-09 18,FL,5,6,0,0,0,2,12005;12131,30.17,-86.24,30.38,-85.66,,,,,,,
158144,2021-04-10 00,2021-04-10 03,VA,1,1,0,0,0,1,51550,36.580000000000005,-76.27,36.69,-76.15,,,,,,,
157818,2021-04-10 01,2021-04-10 04,MS,3,3,0,0,20000,3,28081;28115;28145,34.26,-88.88,34.38,-88.7,,,,,,,
158145,2021-04-10 01,2021-04-10 03,NC,3,3,0,0,0,1,37053,36.39,-76.16,36.51,-76.01,,,,,,,
157990,2021-04-10 02,2021-04-10 09,MS,10,18,0,0,231000,8,28049;28061;28073;28075;28091;28121;28123;28127,31.23,-90.16,32.58,-88.6,,,,,,,
157859,2021-04-10 09,2021-04-10 12,MS,2,2,0,0,0,1,28131,30.64,-89.33,30.8,-89.1,,,,,,,
157811,2021-04-10 11,2021-04-10 11,MS,1,1,0,0,0,1,28109,30.419999999999998,-89.75999999999999,30.54,-89.65,,,,,,,
157860,2021-04-10 12,2021-04-10 14,FL,2,2,0,0,0,2,12091;12113,30.35,-87.17,30.47,-86.64,,,,,,,
157843,2021-04-13 19,2021-04-13 19,LA,3,3,0,0,0,1,22089,29.849999999999998,-90.45,30.02,-90.32000000000001,,,,,,,
158111,2021-04-13 20,2021-04-13 21,LA,1,3,0,0,0,1,22045,29.95,-91.94,30.080000000000002,-91.81,,,,,,,
157879,2021-04-15 11,2021-04-15 11,LA,1,0,0,0,50000,1,22103,30.31,-90.13,30.42,-90.02,,,,,,,
158274,2021-04-15 12,2021-04-15 15,AL,2,6,0,0,0,1,01097,30.42,-88.25,30.71,-88.04,,,,,,,
157880,2021-04-15 15,2021-04-15 16,MS,3,0,0,0,0,3,28045;28047;28059,30.33,-89.43,30.51,-88.62,,,,,,,
158114,2021-04-24 00,2021-04-24 00,TX,1,1,0,0,0,1,48351,30.95,-93.72,31.060000000000002,-93.60000000000001,,,,,,,
157882,2021-04-24 08,2021-04-24 08,MS,1,1,0,0,500000,1,28157,31.099999999999998,-91.56,31.21,-91.41,,,,,,,
157351,2021-04-24 09,2021-04-24 11,MS,2,3,0,0,7000,1,28035,31.08,-89.31,31.25,-89.13,,,,,,,
158156,2021-04-24 13,2021-04-24 16,AL,2,2,0,0,0,2,01025;01097,30.68,-88.07,31.87,-87.74,,,,,,,
157198,2021-04-24 15,2021-04-24 20,FL,12,13,0,0,0,3,12059;12063;12131,30.79,-86.38,30.96,-85.23,,,,,,,
158272,2021-04-24 16,2021-04-24 17,FL,2,2,0,0,0,1,12091,30.65,-86.64,30.830000000000002,-86.49000000000001,,,,,,,
157199,2021-04-25 01,2021-04-25 03,GA,5,5,0,0,0,2,13205;13277,31.37,-84.06,31.56,-83.5,,,,,,,
157751,2021-04-28 05,2021-04-28 09,OK,2,3,0,0,0,1,40049,34.67,-97.31,34.809999999999995,-97.15,,,,,,,
157141,2021-04-28 12,2021-04-29 02,OK,4,4,0,0,0,4,40001;40041;40091;40135,35.27,-95.6,36.22,-94.56,,,,,,,
157650,2021-04-28 12,2021-04-28 13,TX,1,1,0,0,0,1,48441,32.32,-99.86,32.459999999999994,-99.71000000000001,,,,,,,
157753,2021-04-28 12,2021-04-29 10,OK,11,11,0,0,0,6,40013;40027;40031;40049;40063;40123,33.82,-98.58,35.3,-96.39,,,,,,,
157144,2021-04-28 13,2021-04-29 11,AR,15,16,0,0,25000,5,05007;05033;05047;05131;05143,35.2,-94.54,36.45,-93.74,,,,,,,
157890,2021-04-28 14,2021-04-29 14,MO,23,23,0,0,10000,11,29009;29043;29067;29091;29119;29153;29161;29209;29213;29225;29229,36.5,-94.38,38.03,-91.59,,,,,,,
156815,2021-04-28 20,2021-04-28 21,MO,1,1,0,0,0,1,29023,36.690000000000005,-90.46,36.809999999999995,-90.35000000000001,,,,,,,
157523,2021-04-28 20,2021-04-28 23,MO,5,7,0,0,0,2,29037;29165,38.62,-94.79,39.26,-94.34,,,,,,,
157524,2021-04-28 20,2021-04-28 21,KS,1,1,0,0,0,1,20103,39.010000000000005,-95.06,39.12,-94.95,,,,,,,
157233,2021-04-28 23,2021-04-29 02,KY,1,1,0,0,5000,1,21043,38.28,-82.91,38.39,-82.79,,,,,,,
157900,2021-04-29 02,2021-04-29 05,TX,1,2,0,0,0,1,48029,29.43,-98.66,29.54,-98.55,,,,,,,
157175,2021-04-29 07,2021-04-29 20,AR,8,8,0,0,10000,5,05051;05071;05089;05135;05141,34.7,-93.65,36.33,-91.48,,,,,,,
157381,2021-04-29 07,2021-04-29 10,MO,3,8,0,0,0,3,29055;29099;29221,37.92,-91.53,38.21,-90.66,,,,,,,
157128,2021-04-29 20,2021-04-29 23,KY,1,1,0,0,10000,1,21107,37.190000000000005,-87.52,37.3,-87.41,,,,,,,
156693,2021-04-30 09,2021-04-30 12,TX,11,10,0,0,0,4,48005;48073;48347;48405,31.26,-95.03,31.62,-94.28,,,,,,,
158167,2021-04-30 14,2021-04-30 15,TX,4,4,0,0,0,2,48185;48471,30.26,-95.83,30.88,-95.45,,,,,,,
157930,2021-05-01 00,2021-05-01 04,TX,6,6,0,0,0,2,48029;48091,29.4,-98.52,29.87,-98.16,,,,,,,
157659,2021-05-01 04,2021-05-01 05,TX,3,6,0,0,10000,1,48355,27.67,-97.45,27.81,-97.27,,,,,,,
158759,2021-05-01 06,2021-05-01 11,TX,10,13,0,0,80000,4,48007;48355;48409;48469,27.7,-97.54,28.85,-96.88,,,,,,,
158728,2021-05-01 15,2021-05-01 17,TX,2,2,0,0,5000,2,48039;48157,29.05,-95.83,29.71,-95.63000000000001,,,,,,,
